date,Real Lower Band,Real Middle Band,Real Upper Band
2021-05-06 20:00:00,125.8492,129.5855,133.3218
2021-05-06 19:00:00,125.8315,129.6187,133.4058
2021-05-06 18:00:00,125.8239,129.6462,133.4684
2021-05-06 17:00:00,125.8163,129.6707,133.525
2021-05-06 16:00:00,125.8126,129.7075,133.6023
2021-05-06 15:00:00,125.8149,129.7373,133.6597
2021-05-06 14:00:00,125.8464,129.784,133.7216
2021-05-06 13:00:00,125.8776,129.8312,133.7849
2021-05-06 12:00:00,125.9064,129.8749,133.8434
2021-05-06 11:00:00,125.9425,129.9215,133.9005
2021-05-06 10:00:00,126.002,129.9836,133.9653
2021-05-06 09:00:00,126.0961,130.0529,134.0097
2021-05-06 08:00:00,126.1653,130.1283,134.0914
2021-05-06 07:00:00,126.2142,130.2103,134.2064
2021-05-06 06:00:00,126.2555,130.2991,134.3426
2021-05-06 05:00:00,126.3229,130.3757,134.4286
2021-05-05 20:00:00,126.3997,130.4371,134.4744
2021-05-05 19:00:00,126.4988,130.5041,134.5094
2021-05-05 18:00:00,126.6008,130.5754,134.55
2021-05-05 17:00:00,126.6967,130.6539,134.6111
2021-05-05 16:00:00,126.7991,130.7379,134.6767
2021-05-05 15:00:00,126.9023,130.8134,134.7244
2021-05-05 14:00:00,126.9692,130.8829,134.7966
2021-05-05 13:00:00,127.0154,130.9448,134.8742
2021-05-05 12:00:00,127.0577,131.0056,134.9536
2021-05-05 11:00:00,127.0695,131.0611,135.0528
2021-05-05 10:00:00,127.0786,131.1354,135.1922
2021-05-05 09:00:00,127.1062,131.2035,135.3008
2021-05-05 08:00:00,127.1913,131.2707,135.3501
2021-05-05 07:00:00,127.2816,131.3417,135.4018
2021-05-05 06:00:00,127.3502,131.4282,135.5062
2021-05-05 05:00:00,127.431,131.517,135.6031
2021-05-04 20:00:00,127.3767,131.6585,135.9403
2021-05-04 19:00:00,127.4374,131.8152,136.193
2021-05-04 18:00:00,127.5177,131.9739,136.43
2021-05-04 17:00:00,127.6007,132.134,136.6673
2021-05-04 16:00:00,127.7023,132.3,136.8977
2021-05-04 15:00:00,127.8551,132.446,137.037
2021-05-04 14:00:00,128.0771,132.5988,137.1205
2021-05-04 13:00:00,128.3592,132.761,137.1628
2021-05-04 12:00:00,128.6237,132.9443,137.2649
2021-05-04 11:00:00,129.0275,133.0592,137.0909
2021-05-04 10:00:00,129.3218,133.161,137.0003
2021-05-04 09:00:00,129.602,133.2517,136.9014
