date,Real Middle Band,Real Lower Band,Real Upper Band
2021-05-06 19:00:00,119.0678,116.6007,121.535
2021-05-06 18:00:00,119.1087,116.5706,121.6467
2021-05-06 17:00:00,119.1462,116.5423,121.75
2021-05-06 16:00:00,119.1902,116.5234,121.8569
2021-05-06 15:00:00,119.2277,116.5215,121.9339
2021-05-06 14:00:00,119.2832,116.5428,122.0236
2021-05-06 13:00:00,119.3305,116.5982,122.0628
2021-05-06 12:00:00,119.3862,116.657,122.1154
2021-05-06 11:00:00,119.4622,116.7256,122.1987
2021-05-06 10:00:00,119.5347,116.8305,122.2388
2021-05-05 20:00:00,119.584,116.8805,122.2875
2021-05-05 19:00:00,119.6453,116.9197,122.371
2021-05-05 17:00:00,119.7165,116.9233,122.5096
2021-05-05 16:00:00,119.7712,116.9549,122.5874
2021-05-05 15:00:00,119.8274,116.9795,122.6753
2021-05-05 14:00:00,119.8838,117.0023,122.7653
2021-05-05 13:00:00,119.946,117.0456,122.8464
2021-05-05 12:00:00,120.007,117.0954,122.9186
2021-05-05 11:00:00,120.0741,117.1994,122.9488
2021-05-05 10:00:00,120.1284,117.2957,122.9612
2021-05-05 09:00:00,120.2012,117.3778,123.0247
2021-05-05 08:00:00,120.2839,117.4866,123.0812
2021-05-05 07:00:00,120.3456,117.5717,123.1194
2021-05-04 17:00:00,120.4071,117.6628,123.1514
2021-05-04 16:00:00,120.4914,117.8243,123.1585
2021-05-04 15:00:00,120.5756,117.9644,123.1868
2021-05-04 14:00:00,120.6746,118.1663,123.1829
2021-05-04 13:00:00,120.7597,118.3332,123.1863
2021-05-04 12:00:00,120.8488,118.5485,123.1492
2021-05-04 11:00:00,120.932,118.7882,123.0758
2021-05-04 10:00:00,120.9967,118.9072,123.0862
2021-05-04 09:00:00,121.049,119.0115,123.0865
2021-05-03 20:00:00,121.1125,119.035,123.19
2021-05-03 19:00:00,121.176,119.0656,123.2864
2021-05-03 17:00:00,121.2482,119.0728,123.4236
2021-05-03 16:00:00,121.317,119.1061,123.5279
2021-05-03 15:00:00,121.3867,119.1425,123.631
2021-05-03 14:00:00,121.4526,119.21,123.6951
2021-05-03 13:00:00,121.5164,119.2585,123.7743
2021-05-03 12:00:00,121.5661,119.2985,123.8338
2021-05-03 11:00:00,121.6201,119.3197,123.9206
2021-05-03 10:00:00,121.6792,119.3453,124.0131
2021-05-03 09:00:00,121.7326,119.381,124.0841
2021-04-30 17:00:00,121.7909,119.3817,124.2
2021-04-30 16:00:00,121.8482,119.4428,124.2536
2021-04-30 15:00:00,121.9127,119.494,124.3314
2021-04-30 14:00:00,121.9919,119.5767,124.407
2021-04-30 13:00:00,122.0759,119.661,124.4909
2021-04-30 12:00:00,122.1558,119.7492,124.5625
2021-04-30 11:00:00,122.2188,119.8372,124.6005
2021-04-30 10:00:00,122.2692,119.9159,124.6225
2021-04-29 17:00:00,122.295,119.973,124.617
2021-04-29 16:00:00,122.3182,120.0203,124.6161
2021-04-29 15:00:00,122.3447,120.0712,124.6181
2021-04-29 14:00:00,122.3651,120.1328,124.5973
2021-04-29 13:00:00,122.4053,120.2507,124.5598
2021-04-29 12:00:00,122.4418,120.3503,124.5332
2021-04-29 11:00:00,122.4683,120.4349,124.5016
2021-04-29 10:00:00,122.4876,120.5042,124.471
2021-04-29 09:00:00,122.5021,120.5568,124.4474
2021-04-28 19:00:00,122.5045,120.5614,124.4476
2021-04-28 17:00:00,122.4998,120.5448,124.4548
2021-04-28 16:00:00,122.4921,120.5162,124.4681
2021-04-28 15:00:00,122.4718,120.4286,124.5151
2021-04-28 14:00:00,122.4578,120.3646,124.551
2021-04-28 13:00:00,122.4438,120.31,124.5776
2021-04-28 12:00:00,122.437,120.2773,124.5967
2021-04-28 11:00:00,122.4205,120.2025,124.6385
2021-04-28 10:00:00,122.3883,120.0794,124.6972
2021-04-28 09:00:00,122.3655,119.9906,124.7404
2021-04-27 18:00:00,122.3568,119.9588,124.7548
2021-04-27 17:00:00,122.3356,119.8928,124.7785
2021-04-27 16:00:00,122.2925,119.7704,124.8145
2021-04-27 15:00:00,122.2506,119.6089,124.8924
2021-04-27 14:00:00,122.2134,119.4903,124.9365
