date,Real Upper Band,Real Middle Band,Real Lower Band
2021-05-06 20:00:00,3461.3059,3334.2338,3207.1617
2021-05-06 19:00:00,3468.219,3336.9005,3205.5819
2021-05-06 18:00:00,3474.6417,3339.5196,3204.3976
2021-05-06 17:00:00,3480.9352,3342.16,3203.3848
2021-05-06 16:00:00,3486.9206,3344.8405,3202.7604
2021-05-06 15:00:00,3494.1771,3347.8596,3201.5422
2021-05-06 14:00:00,3500.4872,3351.2408,3201.9944
2021-05-06 13:00:00,3508.0152,3354.8565,3201.6978
2021-05-06 12:00:00,3515.6014,3358.2299,3200.8584
2021-05-06 11:00:00,3523.3686,3361.7468,3200.1249
2021-05-06 10:00:00,3533.4126,3366.2244,3199.0362
2021-05-06 09:00:00,3541.8105,3370.8336,3199.8567
2021-05-06 08:00:00,3551.4276,3375.7336,3200.0396
2021-05-06 07:00:00,3559.7439,3380.4169,3201.09
2021-05-06 05:00:00,3567.1341,3384.9103,3202.6865
2021-05-05 20:00:00,3575.0581,3389.4556,3203.8531
2021-05-05 19:00:00,3581.6524,3394.2389,3206.8255
2021-05-05 18:00:00,3588.1957,3399.1029,3210.0101
2021-05-05 17:00:00,3595.7387,3404.3529,3212.9672
2021-05-05 16:00:00,3604.0307,3409.7606,3215.4904
2021-05-05 15:00:00,3604.5863,3413.0963,3221.6062
2021-05-05 14:00:00,3605.2496,3416.2421,3227.2345
2021-05-05 13:00:00,3605.6156,3419.3726,3233.1295
2021-05-05 12:00:00,3606.1497,3422.3419,3238.5341
2021-05-05 11:00:00,3606.4226,3424.8071,3243.1915
2021-05-05 10:00:00,3607.3827,3427.5365,3247.6903
2021-05-05 09:00:00,3608.7975,3430.3464,3251.8953
2021-05-05 08:00:00,3610.8536,3433.203,3255.5525
2021-05-05 07:00:00,3612.7301,3436.053,3259.376
2021-05-05 06:00:00,3614.3822,3438.7864,3263.1906
2021-05-05 05:00:00,3615.7778,3441.6202,3267.4627
2021-05-04 20:00:00,3617.075,3444.4724,3271.8698
2021-05-04 19:00:00,3616.6508,3447.5534,3278.456
2021-05-04 18:00:00,3615.8672,3450.5664,3285.2655
2021-05-04 17:00:00,3614.6902,3453.4932,3292.2962
2021-05-04 16:00:00,3613.2034,3456.4517,3299.7
2021-05-04 15:00:00,3611.093,3458.8789,3306.6647
2021-05-04 14:00:00,3608.2613,3461.97,3315.6788
2021-05-04 13:00:00,3603.6392,3465.1137,3326.5881
2021-05-04 12:00:00,3598.6016,3468.5279,3338.4542
2021-05-04 11:00:00,3592.5012,3471.6126,3350.7239
2021-05-04 10:00:00,3587.7325,3473.9892,3360.2458
2021-05-04 09:00:00,3583.9714,3476.143,3368.3146
2021-05-04 08:00:00,3581.0413,3477.4555,3373.8697
2021-05-03 20:00:00,3578.302,3478.5522,3378.8023
2021-05-03 18:00:00,3576.7527,3479.2812,3381.8096
2021-05-03 17:00:00,3575.4036,3479.8633,3384.3231
2021-05-03 16:00:00,3574.0976,3480.4457,3386.7937
2021-05-03 15:00:00,3572.6968,3481.0625,3389.4282
2021-05-03 14:00:00,3571.3363,3481.6368,3391.9373
2021-05-03 13:00:00,3570.4258,3482.0638,3393.7019
2021-05-03 12:00:00,3569.4653,3482.4502,3395.4352
2021-05-03 11:00:00,3568.9542,3482.6922,3396.4302
2021-05-03 10:00:00,3569.2486,3482.5157,3395.7828
2021-05-03 09:00:00,3569.6397,3482.2034,3394.7671
2021-05-03 08:00:00,3569.9401,3481.3663,3392.7925
2021-05-03 07:00:00,3570.7104,3480.3571,3390.0039
2021-05-03 06:00:00,3570.9662,3479.6571,3388.348
2021-05-03 05:00:00,3570.9224,3479.0621,3387.2019
2021-04-30 20:00:00,3570.7108,3478.2955,3385.8801
2021-04-30 19:00:00,3570.8244,3477.7206,3384.6168
2021-04-30 18:00:00,3570.9234,3477.154,3383.3845
2021-04-30 17:00:00,3571.0052,3476.6375,3382.2698
2021-04-30 16:00:00,3571.0162,3476.1305,3381.2447
2021-04-30 15:00:00,3571.0381,3475.5938,3380.1494
2021-04-30 14:00:00,3570.7343,3474.6351,3378.5359
2021-04-30 13:00:00,3570.6746,3473.5796,3376.4847
2021-04-30 12:00:00,3570.2088,3472.022,3373.8351
2021-04-30 11:00:00,3569.3059,3470.5348,3371.7637
2021-04-30 10:00:00,3568.2433,3468.7253,3369.2073
2021-04-30 09:00:00,3567.2714,3465.3851,3363.4989
2021-04-30 08:00:00,3567.2043,3461.9426,3356.681
2021-04-30 07:00:00,3564.6038,3458.2932,3351.9825
2021-04-30 06:00:00,3562.4532,3454.722,3346.9908
2021-04-30 05:00:00,3559.946,3451.3782,3342.8103
2021-04-29 20:00:00,3556.2728,3447.797,3339.3212
2021-04-29 19:00:00,3552.6654,3444.2452,3335.8249
2021-04-29 18:00:00,3548.293,3440.5197,3332.7463
2021-04-29 17:00:00,3540.7968,3436.6197,3332.4425
2021-04-29 16:00:00,3530.9192,3432.4047,3333.8901
2021-04-29 15:00:00,3530.9791,3430.2183,3329.4576
2021-04-29 14:00:00,3530.8003,3428.0265,3325.2526
2021-04-29 13:00:00,3530.4345,3425.8635,3321.2924
2021-04-29 12:00:00,3529.0138,3424.1463,3319.2788
2021-04-29 11:00:00,3528.1585,3422.6558,3317.1532
