date,Real Lower Band,Real Middle Band,Real Upper Band
2021-05-06 20:00:00,312.3662,318.7657,325.1652
2021-05-06 19:00:00,312.2376,318.8527,325.4677
2021-05-06 18:00:00,312.1639,318.9152,325.6664
2021-05-06 17:00:00,312.0897,318.9777,325.8656
2021-05-06 16:00:00,311.9788,319.07,326.1612
2021-05-06 15:00:00,311.9118,319.1498,326.3879
2021-05-06 14:00:00,311.9111,319.2717,326.6322
2021-05-06 13:00:00,311.9094,319.3945,326.8796
2021-05-06 12:00:00,311.8863,319.5043,327.1224
2021-05-06 11:00:00,311.8811,319.6214,327.3617
2021-05-06 10:00:00,311.9376,319.7886,327.6396
2021-05-06 09:00:00,312.0795,319.9659,327.8523
2021-05-06 08:00:00,312.2634,320.1482,328.033
2021-05-06 07:00:00,312.4036,320.3172,328.2309
2021-05-06 06:00:00,312.5744,320.4912,328.408
2021-05-06 05:00:00,312.619,320.7147,328.8104
2021-05-05 20:00:00,312.7557,320.8896,329.0234
2021-05-05 19:00:00,312.9353,321.0909,329.2465
2021-05-05 18:00:00,313.2148,321.2824,329.35
2021-05-05 17:00:00,313.4728,321.4824,329.492
2021-05-05 16:00:00,313.702,321.6791,329.6562
2021-05-05 15:00:00,313.9535,321.8929,329.8323
2021-05-05 14:00:00,314.1213,322.0784,330.0354
2021-05-05 13:00:00,314.2964,322.2719,330.2474
2021-05-05 12:00:00,314.4105,322.4462,330.4819
2021-05-05 11:00:00,314.4662,322.6314,330.7966
2021-05-05 10:00:00,314.5107,322.8201,331.1295
2021-05-05 09:00:00,314.6164,322.9601,331.3038
2021-05-05 08:00:00,314.7349,323.0754,331.4159
2021-05-05 07:00:00,314.8423,323.1396,331.4368
2021-05-05 06:00:00,314.9512,323.2056,331.4601
2021-05-05 05:00:00,315.0928,323.3061,331.5195
2021-05-04 20:00:00,315.0888,323.5036,331.9185
2021-05-04 19:00:00,315.27,323.7111,332.1523
2021-05-04 18:00:00,315.4921,323.9093,332.3265
2021-05-04 17:00:00,315.7854,324.1116,332.4379
2021-05-04 16:00:00,316.0323,324.296,332.5597
2021-05-04 15:00:00,316.2911,324.4223,332.5535
2021-05-04 14:00:00,316.7364,324.5911,332.4459
2021-05-04 13:00:00,317.417,324.7925,332.168
2021-05-04 12:00:00,318.1747,324.9711,331.7676
2021-05-04 11:00:00,317.1704,324.8593,332.5482
2021-05-04 10:00:00,316.4741,324.7625,333.0509
2021-05-04 09:00:00,315.4922,324.623,333.7537
2021-05-04 08:00:00,314.2691,324.4068,334.5446
2021-05-04 07:00:00,313.0439,324.1728,335.3017
2021-05-04 06:00:00,311.97,323.9295,335.889
2021-05-04 05:00:00,311.2817,323.7398,336.198
2021-05-03 20:00:00,310.5472,323.5357,336.5242
2021-05-03 19:00:00,309.8652,323.3252,336.7852
2021-05-03 18:00:00,309.2119,323.1127,337.0134
2021-05-03 17:00:00,308.5062,322.8825,337.2588
2021-05-03 16:00:00,307.8349,322.651,337.467
2021-05-03 15:00:00,307.1538,322.4138,337.6738
2021-05-03 14:00:00,306.4763,322.1566,337.8368
2021-05-03 13:00:00,305.8267,321.9136,338.0005
2021-05-03 12:00:00,305.2476,321.6737,338.0999
2021-05-03 11:00:00,304.2696,321.3446,338.4195
2021-05-03 10:00:00,303.4439,321.0039,338.5639
2021-05-03 09:00:00,302.6171,320.6344,338.6517
2021-05-03 08:00:00,301.8781,320.2886,338.699
2021-05-03 07:00:00,301.0967,319.9287,338.7607
2021-05-03 06:00:00,300.2693,319.5681,338.8668
2021-05-03 05:00:00,299.4363,319.1951,338.9539
2021-04-30 20:00:00,298.7959,318.8406,338.8853
2021-04-30 19:00:00,298.1746,318.4987,338.8229
2021-04-30 18:00:00,297.5501,318.1507,338.7514
2021-04-30 17:00:00,296.915,317.7891,338.6632
2021-04-30 16:00:00,296.2979,317.4222,338.5465
2021-04-30 15:00:00,295.7269,317.0594,338.3919
2021-04-30 14:00:00,295.1871,316.6796,338.1721
2021-04-30 13:00:00,294.6601,316.3039,337.9477
2021-04-30 12:00:00,294.1747,315.9342,337.6938
2021-04-30 11:00:00,293.7091,315.5601,337.4111
2021-04-30 10:00:00,293.2697,315.1856,337.1015
2021-04-30 09:00:00,292.8694,314.7394,336.6095
2021-04-30 08:00:00,292.4492,314.3342,336.2193
2021-04-30 07:00:00,292.1019,313.9246,335.7473
2021-04-30 06:00:00,291.7994,313.5506,335.3017
2021-04-30 05:00:00,291.5651,313.1716,334.7781
2021-04-29 20:00:00,291.3129,312.7666,334.2202
2021-04-29 19:00:00,291.0687,312.3341,333.5995
2021-04-29 18:00:00,290.8259,311.8926,332.9592
