date,Real Upper Band,Real Middle Band,Real Lower Band
2021-05-06 20:00:00,2392.054,2333.2302,2274.4063
2021-05-06 18:00:00,2395.6573,2334.265,2272.8727
2021-05-06 17:00:00,2398.458,2335.1847,2271.9115
2021-05-06 16:00:00,2400.3981,2335.9472,2271.4964
2021-05-06 15:00:00,2402.5849,2336.7931,2271.0014
2021-05-06 14:00:00,2405.1346,2337.9802,2270.8257
2021-05-06 13:00:00,2407.2629,2339.2647,2271.2666
2021-05-06 12:00:00,2408.4954,2340.0361,2271.5767
2021-05-06 11:00:00,2409.7389,2340.8731,2272.0073
2021-05-06 10:00:00,2410.5212,2341.8712,2273.2213
2021-05-06 09:00:00,2411.1111,2342.8557,2274.6003
2021-05-06 08:00:00,2411.6937,2343.7391,2275.7845
2021-05-05 20:00:00,2412.1474,2344.6007,2277.0541
2021-05-05 18:00:00,2412.5189,2345.3539,2278.1889
2021-05-05 17:00:00,2414.0453,2346.5441,2279.0428
2021-05-05 16:00:00,2415.4794,2347.737,2279.9946
2021-05-05 15:00:00,2416.8309,2348.9107,2280.9906
2021-05-05 14:00:00,2417.4549,2349.7409,2282.0269
2021-05-05 13:00:00,2418.8239,2350.795,2282.7661
2021-05-05 12:00:00,2423.0181,2352.5775,2282.1368
2021-05-05 11:00:00,2424.9192,2353.8067,2282.6941
2021-05-05 10:00:00,2427.0237,2355.1607,2283.2978
2021-05-05 09:00:00,2429.2799,2356.7432,2284.2064
2021-05-04 18:00:00,2431.1968,2358.2112,2285.2255
2021-05-04 17:00:00,2431.4635,2359.6768,2287.8901
2021-05-04 16:00:00,2431.8905,2361.225,2290.5595
2021-05-04 15:00:00,2432.4175,2362.587,2292.7565
2021-05-04 14:00:00,2432.8192,2364.2433,2295.6674
2021-05-04 13:00:00,2432.2315,2364.4051,2296.5786
2021-05-04 12:00:00,2429.9547,2364.9242,2299.8938
2021-05-04 11:00:00,2427.4305,2365.4668,2303.5031
2021-05-04 10:00:00,2426.885,2365.6026,2304.3203
2021-05-04 09:00:00,2426.9654,2365.5785,2304.1916
2021-05-04 08:00:00,2428.1029,2365.1823,2302.2617
2021-05-04 06:00:00,2429.4489,2364.6552,2299.8616
2021-05-03 17:00:00,2429.7673,2364.4304,2299.0935
2021-05-03 16:00:00,2430.2023,2364.0239,2297.8455
2021-05-03 15:00:00,2430.7919,2363.5137,2296.2355
2021-05-03 14:00:00,2431.3874,2362.8484,2294.3094
2021-05-03 13:00:00,2431.7718,2362.3297,2292.8877
2021-05-03 12:00:00,2432.2902,2361.7582,2291.2263
2021-05-03 11:00:00,2432.5494,2361.0997,2289.6501
2021-05-03 10:00:00,2432.6522,2360.419,2288.1858
2021-05-03 09:00:00,2432.7553,2359.7021,2286.6489
2021-05-03 08:00:00,2432.6827,2358.7832,2284.8838
2021-04-30 18:00:00,2432.8326,2357.8872,2282.9417
2021-04-30 17:00:00,2433.2619,2356.9772,2280.6924
2021-04-30 16:00:00,2433.7299,2356.0595,2278.3891
2021-04-30 15:00:00,2434.2864,2355.0583,2275.8303
2021-04-30 14:00:00,2434.453,2354.1972,2273.9413
2021-04-30 13:00:00,2434.7926,2353.3446,2271.8966
2021-04-30 12:00:00,2434.9742,2352.3491,2269.7239
2021-04-30 11:00:00,2435.1279,2351.4259,2267.7239
2021-04-30 10:00:00,2435.1773,2350.532,2265.8866
2021-04-30 09:00:00,2434.8852,2349.3088,2263.7325
2021-04-30 08:00:00,2434.4087,2348.1893,2261.9699
2021-04-29 20:00:00,2434.023,2346.9429,2259.8628
2021-04-29 19:00:00,2433.4846,2345.1691,2256.8535
2021-04-29 17:00:00,2432.9734,2343.0801,2253.1867
2021-04-29 16:00:00,2433.1555,2340.9202,2248.685
2021-04-29 15:00:00,2432.2368,2338.7117,2245.1867
2021-04-29 14:00:00,2430.7112,2336.2631,2241.8149
2021-04-29 13:00:00,2429.3321,2333.9815,2238.6308
2021-04-29 12:00:00,2428.5102,2331.8108,2235.1114
2021-04-29 11:00:00,2427.3238,2329.5248,2231.7257
2021-04-29 10:00:00,2425.7002,2327.1385,2228.5769
2021-04-29 09:00:00,2423.3312,2325.3173,2227.3033
2021-04-29 08:00:00,2421.7236,2323.6924,2225.6613
2021-04-28 20:00:00,2419.8609,2322.1879,2224.5148
2021-04-28 19:00:00,2418.2477,2320.748,2223.2483
2021-04-28 18:00:00,2416.749,2319.2434,2221.7377
2021-04-28 17:00:00,2415.2049,2317.76,2220.3152
2021-04-28 16:00:00,2413.6796,2316.2934,2218.9071
2021-04-28 15:00:00,2412.1826,2314.9159,2217.6491
2021-04-28 14:00:00,2409.0118,2313.1149,2217.2179
2021-04-28 13:00:00,2405.6883,2311.3148,2216.9412
2021-04-28 12:00:00,2402.3922,2309.2587,2216.1251
2021-04-28 11:00:00,2399.9395,2307.5252,2215.1109
2021-04-28 10:00:00,2396.2876,2305.375,2214.4624
2021-04-28 09:00:00,2388.261,2302.6696,2217.0783
2021-04-28 08:00:00,2383.0331,2300.1415,2217.2499
2021-04-28 07:00:00,2376.5756,2297.7572,2218.9389
2021-04-28 06:00:00,2368.8024,2295.372,2221.9417
2021-04-27 20:00:00,2360.7598,2293.1925,2225.6253
2021-04-27 19:00:00,2354.3453,2291.2441,2228.1428
2021-04-27 18:00:00,2346.5433,2289.1774,2231.8114
2021-04-27 17:00:00,2338.0754,2287.2942,2236.5131
