date,Real Lower Band,Real Middle Band,Real Upper Band
2021-05-06 20:00:00,151.5275,156.2316,160.9356
2021-05-06 19:00:00,151.541,156.1141,160.6872
2021-05-06 18:00:00,151.5575,155.9989,160.4403
2021-05-06 17:00:00,151.588,155.8844,160.1808
2021-05-06 16:00:00,151.635,155.7679,159.9008
2021-05-06 15:00:00,151.6942,155.6534,159.6126
2021-05-06 14:00:00,151.7142,155.549,159.3839
2021-05-06 13:00:00,151.7323,155.4483,159.1643
2021-05-06 12:00:00,151.7381,155.3503,158.9625
2021-05-06 11:00:00,151.7704,155.2472,158.724
2021-05-06 10:00:00,151.7874,155.1603,158.5332
2021-05-06 09:00:00,151.7832,155.1068,158.4304
2021-05-06 08:00:00,151.7731,155.0481,158.3232
2021-05-06 06:00:00,151.7888,154.9928,158.1968
2021-05-06 05:00:00,151.8047,154.928,158.0513
2021-05-05 20:00:00,151.8531,154.877,157.9009
2021-05-05 19:00:00,151.8903,154.8331,157.7759
2021-05-05 18:00:00,151.9294,154.7891,157.6489
2021-05-05 17:00:00,151.9755,154.745,157.5145
2021-05-05 16:00:00,152.026,154.7076,157.3893
2021-05-05 15:00:00,152.0858,154.6658,157.2458
2021-05-05 14:00:00,152.1868,154.608,157.0292
2021-05-05 13:00:00,152.2783,154.5533,156.8284
2021-05-05 12:00:00,152.3375,154.4998,156.6622
2021-05-05 11:00:00,152.4138,154.4312,156.4485
2021-05-05 10:00:00,152.4688,154.385,156.3013
2021-05-05 09:00:00,152.4487,154.3334,156.218
2021-05-05 08:00:00,152.429,154.2867,156.1444
2021-05-05 07:00:00,152.4073,154.2359,156.0644
2021-05-05 06:00:00,152.3497,154.1765,156.0033
2021-05-05 05:00:00,152.2999,154.1172,155.9345
2021-05-04 20:00:00,152.2579,154.043,155.8282
2021-05-04 19:00:00,152.1704,153.9837,155.797
2021-05-04 18:00:00,152.1092,153.9275,155.7459
2021-05-04 17:00:00,152.0295,153.8712,155.7128
2021-05-04 16:00:00,151.9799,153.818,155.6562
