date,Real Upper Band,Real Middle Band,Real Lower Band
2021-05-06 19:00:00,202.7244,199.1843,195.6443
2021-05-06 18:00:00,202.5837,199.0967,195.6097
2021-05-06 17:00:00,202.4261,198.9899,195.5537
2021-05-06 16:00:00,202.2763,198.8872,195.4981
2021-05-06 15:00:00,202.1243,198.7796,195.4348
2021-05-06 14:00:00,202.0593,198.7036,195.3478
2021-05-06 13:00:00,201.947,198.5981,195.2491
2021-05-06 12:00:00,201.8428,198.5111,195.1793
2021-05-06 11:00:00,201.6986,198.4241,195.1495
2021-05-06 10:00:00,201.5762,198.3372,195.0983
2021-05-06 09:00:00,201.4694,198.2686,195.0677
2021-05-06 08:00:00,201.2846,198.1803,195.076
2021-05-05 17:00:00,201.1594,198.0937,195.0279
2021-05-05 16:00:00,200.9488,198.021,195.0932
2021-05-05 15:00:00,200.8399,197.9053,194.9708
2021-05-05 14:00:00,200.7118,197.7882,194.8645
2021-05-05 13:00:00,200.5995,197.6755,194.7516
2021-05-05 12:00:00,200.5027,197.5701,194.6375
2021-05-05 11:00:00,200.4382,197.4851,194.5319
2021-05-05 10:00:00,200.4504,197.4119,194.3734
2021-05-05 09:00:00,200.4566,197.3429,194.2293
2021-05-04 17:00:00,200.3716,197.2522,194.1329
2021-05-04 16:00:00,200.3634,197.1556,193.9477
2021-05-04 15:00:00,200.3323,197.0581,193.7838
2021-05-04 14:00:00,200.3611,196.9541,193.5471
2021-05-04 13:00:00,200.3215,196.8644,193.4073
2021-05-04 12:00:00,200.2608,196.8444,193.4279
2021-05-04 11:00:00,200.1784,196.8173,193.4562
2021-05-04 10:00:00,200.303,196.8451,193.3873
2021-05-03 17:00:00,200.4419,196.8811,193.3204
2021-05-03 16:00:00,200.5387,196.9085,193.2783
2021-05-03 15:00:00,200.6627,196.9408,193.2189
2021-05-03 14:00:00,200.7081,196.9542,193.2003
2021-05-03 13:00:00,200.7845,196.9744,193.1642
2021-05-03 12:00:00,200.8458,196.99,193.1343
2021-05-03 11:00:00,200.9422,197.0172,193.0921
2021-05-03 10:00:00,201.1039,197.0716,193.0394
2021-05-03 09:00:00,201.3318,197.132,192.9321
2021-05-03 08:00:00,201.649,197.216,192.7829
2021-05-03 06:00:00,201.962,197.3043,192.6466
2021-04-30 20:00:00,202.2582,197.3926,192.5271
2021-04-30 17:00:00,202.5404,197.4928,192.4452
2021-04-30 16:00:00,202.7698,197.5948,192.4197
2021-04-30 15:00:00,202.9698,197.6746,192.3794
2021-04-30 14:00:00,203.1832,197.7741,192.3651
2021-04-30 13:00:00,203.4044,197.8726,192.3409
2021-04-30 12:00:00,203.6109,197.9683,192.3257
2021-04-30 11:00:00,203.7937,198.0657,192.3378
2021-04-30 10:00:00,203.9174,198.1367,192.356
2021-04-30 09:00:00,204.1179,198.2231,192.3282
2021-04-30 08:00:00,204.2608,198.2959,192.331
2021-04-30 06:00:00,204.3343,198.3309,192.3275
2021-04-29 17:00:00,204.4163,198.3736,192.3308
