date,Real Lower Band,Real Upper Band,Real Middle Band
2021-05-06 20:00:00,244.3491,253.0746,248.7119
2021-05-06 19:00:00,244.2844,253.2474,248.7659
2021-05-06 18:00:00,244.2152,253.4228,248.819
2021-05-06 17:00:00,244.1804,253.5313,248.8559
2021-05-06 16:00:00,244.1412,253.6698,248.9055
2021-05-06 15:00:00,244.113,253.7797,248.9464
2021-05-06 14:00:00,244.1735,253.9038,249.0387
2021-05-06 13:00:00,244.2203,254.027,249.1237
2021-05-06 12:00:00,244.2396,254.156,249.1978
2021-05-06 11:00:00,244.2679,254.2734,249.2706
2021-05-06 10:00:00,244.3691,254.3606,249.3648
2021-05-06 09:00:00,244.5506,254.3773,249.464
2021-05-06 08:00:00,244.7004,254.4073,249.5538
2021-05-06 07:00:00,244.8203,254.4666,249.6435
2021-05-06 06:00:00,244.9563,254.505,249.7306
2021-05-06 05:00:00,245.0825,254.5098,249.7961
2021-05-05 20:00:00,245.1852,254.5141,249.8496
2021-05-05 19:00:00,245.3421,254.4872,249.9146
2021-05-05 18:00:00,245.517,254.4426,249.9798
2021-05-05 17:00:00,245.6983,254.4187,250.0585
2021-05-05 16:00:00,245.8971,254.4012,250.1491
2021-05-05 15:00:00,246.0752,254.3785,250.2268
2021-05-05 14:00:00,246.2327,254.3809,250.3068
2021-05-05 13:00:00,246.3555,254.3884,250.372
2021-05-05 12:00:00,246.4732,254.3922,250.4327
2021-05-05 11:00:00,246.5335,254.4603,250.4969
2021-05-05 10:00:00,246.6153,254.4978,250.5566
2021-05-05 09:00:00,246.6858,254.5063,250.5961
2021-05-05 08:00:00,246.7457,254.5201,250.6329
2021-05-05 07:00:00,246.7769,254.5138,250.6454
2021-05-05 06:00:00,246.8078,254.5155,250.6616
2021-05-05 05:00:00,246.7898,254.7051,250.7475
2021-05-04 20:00:00,246.7644,254.9595,250.862
2021-05-04 19:00:00,246.8799,255.1077,250.9938
2021-05-04 18:00:00,246.9872,255.2724,251.1298
2021-05-04 17:00:00,247.1088,255.4424,251.2756
2021-05-04 16:00:00,247.1899,255.6531,251.4215
2021-05-04 15:00:00,247.3289,255.7304,251.5296
2021-05-04 14:00:00,247.5767,255.7393,251.658
2021-05-04 13:00:00,247.9285,255.6664,251.7975
2021-05-04 12:00:00,248.3296,255.5444,251.937
2021-05-04 11:00:00,248.733,255.431,252.082
2021-05-04 10:00:00,248.919,255.4985,252.2087
2021-05-04 09:00:00,249.063,255.5251,252.294
2021-05-04 08:00:00,249.1288,255.6171,252.373
2021-05-04 07:00:00,249.2284,255.6172,252.4228
2021-05-04 06:00:00,249.2678,255.6588,252.4633
2021-05-04 05:00:00,249.295,255.7482,252.5216
2021-05-03 20:00:00,249.289,255.9249,252.607
2021-05-03 19:00:00,249.3111,256.0164,252.6638
2021-05-03 18:00:00,249.2991,256.1725,252.7358
2021-05-03 17:00:00,249.2756,256.3513,252.8135
2021-05-03 16:00:00,249.2626,256.5246,252.8936
