date,Real Middle Band,Real Lower Band,Real Upper Band
2021-05-06 20:00:00,674.2271,655.3867,693.0675
2021-05-06 19:00:00,674.8833,654.6809,695.0857
2021-05-06 18:00:00,675.5045,654.2624,696.7465
2021-05-06 17:00:00,676.0795,654.0969,698.062
2021-05-06 16:00:00,676.7423,653.9654,699.5191
2021-05-06 15:00:00,677.5139,653.4556,701.5722
2021-05-06 14:00:00,678.4372,653.7269,703.1476
2021-05-06 13:00:00,679.2918,653.8928,704.6909
2021-05-06 12:00:00,680.0144,653.6385,706.3903
2021-05-06 11:00:00,680.7908,653.7011,707.8806
2021-05-06 10:00:00,681.5043,654.4091,708.5996
2021-05-06 09:00:00,682.1333,654.5538,709.7128
2021-05-06 08:00:00,682.6573,654.3026,711.0121
2021-05-06 07:00:00,683.0883,654.2658,711.9109
2021-05-06 06:00:00,683.277,654.264,712.29
2021-05-06 05:00:00,683.536,654.8331,712.239
2021-05-05 20:00:00,683.4875,654.6676,712.3075
2021-05-05 19:00:00,683.484,654.6558,712.3123
2021-05-05 18:00:00,683.4607,654.5814,712.3399
2021-05-05 17:00:00,683.5063,654.7148,712.2978
2021-05-05 16:00:00,683.4953,654.6827,712.308
2021-05-05 15:00:00,683.4887,654.6645,712.3128
2021-05-05 14:00:00,683.5099,654.7191,712.3007
2021-05-05 13:00:00,683.5316,654.7699,712.2933
2021-05-05 12:00:00,683.6315,655.0172,712.2458
2021-05-05 11:00:00,683.6065,654.9717,712.2413
2021-05-05 10:00:00,683.7166,655.1336,712.2995
2021-05-05 09:00:00,683.7288,655.1582,712.2993
2021-05-05 08:00:00,683.6114,654.9068,712.3161
2021-05-05 07:00:00,683.4664,654.6631,712.2697
2021-05-05 06:00:00,683.5988,654.8647,712.3328
2021-05-05 05:00:00,683.8786,655.0413,712.7159
2021-05-04 20:00:00,684.2451,655.1273,713.3628
2021-05-04 19:00:00,684.6648,655.3496,713.9799
2021-05-04 18:00:00,685.0659,655.5234,714.6084
2021-05-04 17:00:00,685.5283,655.8376,715.2189
2021-05-04 16:00:00,686.0126,656.1424,715.8828
2021-05-04 15:00:00,686.3513,656.5647,716.1378
2021-05-04 14:00:00,686.7874,657.3932,716.1816
